"Story","Title","Result","Date","Stability","Duration (s)"
"Pet CURD test","This method will create new record of Pet","SUCCESS","2023-01-03T20:56:29.421Z[Europe/London]","0.0","9.34"
"Pet CURD test","This method will fetch existing record of Pet","SUCCESS","2023-01-03T20:56:38.789Z[Europe/London]","0.0","1.42"
"Pet CURD test","This method will update an existing record of Pet","SUCCESS","2023-01-03T20:56:40.207Z[Europe/London]","0.0","0.69"
"Pet CURD test","This method will delete an existing record of Pet","SUCCESS","2023-01-03T20:56:40.903Z[Europe/London]","0.0","1.2"
"User CURD test","This method will create a new user record","SUCCESS","2023-01-03T20:56:44.725Z[Europe/London]","0.0","0.68"
"User CURD test","This method will get and verify existing user record","SUCCESS","2023-01-03T20:56:45.405Z[Europe/London]","0.0","0.58"
"User CURD test","This method will update and verify an existing user record","SUCCESS","2023-01-03T20:56:45.988Z[Europe/London]","0.0","0.62"
"User CURD test","This method will delete and verify an existing user record","SUCCESS","2023-01-03T20:56:46.615Z[Europe/London]","0.0","1.21"
